condition,RNAP,Ribo,load,N,T_end,window_start,window_end,mean,sd,CV,CV2
Cond1,20,50,0,500,4000,3000,4000,6.655718281718282,1.0314445571610387,0.15497118620452704,0.024016068553638192
Cond1,20,100,0,500,4000,3000,4000,7.268129870129871,1.0523196979653104,0.14478548357949292,0.020962836255347613
Cond1,20,200,0,500,4000,3000,4000,7.66830969030969,1.1152525692153432,0.14543655828411162,0.021151792485527794
Cond1,20,300,0,500,4000,3000,4000,7.6817762237762235,1.1306481360069016,0.14718576837833156,0.021663650413119864
Cond1,20,400,0,500,4000,3000,4000,7.8037662337662335,1.077151620533132,0.13802971389281093,0.019052201917331243
Cond1,20,500,0,500,4000,3000,4000,7.93125074925075,1.1048710206135577,0.13930602568805844,0.019406168793002
Cond1,35,50,0,500,4000,3000,4000,10.747722277722279,1.2847928459845799,0.11954094205129208,0.014290036826510371
Cond1,35,100,0,500,4000,3000,4000,11.752405594405595,1.4127094440617802,0.12020598104053362,0.014449477877917128
Cond1,35,200,0,500,4000,3000,4000,12.384009990009991,1.436009596596556,0.11595675372960496,0.013445968735508252
Cond1,35,300,0,500,4000,3000,4000,12.724575424575425,1.41830725284671,0.11146204926472303,0.012423788426291544
Cond1,35,400,0,500,4000,3000,4000,12.685792207792206,1.441948827613749,0.11366643911509419,0.012920059381105416
Cond1,35,500,0,500,4000,3000,4000,12.730657342657343,1.4337036199334607,0.11261819255235689,0.012682857293759732
Cond1,50,50,0,500,4000,3000,4000,14.417248751248751,1.4801598795510793,0.10266590422967317,0.010540287891296424
Cond1,50,100,0,500,4000,3000,4000,15.805418581418582,1.489371205047474,0.09423168373398426,0.008879610219341633
Cond1,50,200,0,500,4000,3000,4000,16.485958041958042,1.586794138403913,0.09625125421072885,0.009264303937138348
Cond1,50,300,0,500,4000,3000,4000,16.904065934065933,1.6546638227914223,0.09788555186932037,0.009581581264761408
Cond1,50,400,0,500,4000,3000,4000,16.936579420579424,1.5786364229104701,0.0932086924820421,0.008687860354211891
Cond1,50,500,0,500,4000,3000,4000,16.921328671328673,1.6814852929853883,0.09937076015989689,0.009874547974755751
Cond1,75,50,0,500,4000,3000,4000,19.45173826173826,1.9169423026395216,0.09854863749684335,0.00971183395248424
Cond1,75,100,0,500,4000,3000,4000,21.354937062937065,1.9590309910987638,0.09173667828311208,0.008415618142419206
Cond1,75,200,0,500,4000,3000,4000,22.377244755244757,1.8375340996698628,0.08211619078971656,0.006743068789813131
Cond1,75,300,0,500,4000,3000,4000,22.641754245754242,1.877590455344849,0.08292601513846626,0.006876723986745135
Cond1,75,400,0,500,4000,3000,4000,22.875044955044956,1.7992989797380003,0.07865772431372536,0.006187037594214022
Cond1,75,500,0,500,4000,3000,4000,22.965948051948054,1.956978914524564,0.08521219808117463,0.0072611187018253405
Cond1,100,50,0,500,4000,3000,4000,23.569986013986014,1.9858439492835276,0.08425308135970733,0.007098581718605462
Cond1,100,100,0,500,4000,3000,4000,25.792997002996998,2.1822728102482247,0.08460718271686912,0.007158375367285677
Cond1,100,200,0,500,4000,3000,4000,27.001756243756244,2.122646308527739,0.07861141658215545,0.0061797548170531855
Cond1,100,300,0,500,4000,3000,4000,27.492015984015982,2.050670649436658,0.07459149778717318,0.005563891542133862
Cond1,100,400,0,500,4000,3000,4000,27.657024975024974,2.1123879617369807,0.07637798944913717,0.005833597272292508
Cond1,100,500,0,500,4000,3000,4000,28.04156043956044,2.1625567201367955,0.0771196996970934,0.005947448081369868
Cond1,150,50,0,500,4000,3000,4000,29.68605194805195,2.253353522100511,0.07590613686332176,0.005761741613513335
Cond1,150,100,0,500,4000,3000,4000,32.2557062937063,2.481489365647752,0.07693179442584204,0.0059185009935800205
Cond1,150,200,0,500,4000,3000,4000,34.124495504495506,2.5648266043231853,0.07516086513235923,0.005649155647444693
Cond1,150,300,0,500,4000,3000,4000,34.65043356643357,2.4885761554290395,0.07181948100758437,0.0051580378521987715
Cond1,150,400,0,500,4000,3000,4000,34.95166833166834,2.6751337794180867,0.07653808550804578,0.005858078533236927
Cond1,150,500,0,500,4000,3000,4000,35.037118881118886,2.386208042069071,0.06810514443740326,0.00463831069883956
Cond1,200,50,0,500,4000,3000,4000,34.17789810189811,2.6769207494659715,0.078323153211031,0.006134516328918637
Cond1,200,100,0,500,4000,3000,4000,37.56791208791209,2.5935497439900055,0.06903630252117497,0.00476601106579519
Cond1,200,200,0,500,4000,3000,4000,39.34488711288711,2.8203317573402344,0.07168229379457178,0.005138351243651303
Cond1,200,300,0,500,4000,3000,4000,39.897044955044954,2.811376593432025,0.07046578503745873,0.004965426860945343
Cond1,200,400,0,500,4000,3000,4000,40.14487312687312,2.7877743299200466,0.06944284818411596,0.004822309163922177
Cond1,200,500,0,500,4000,3000,4000,40.15352447552448,2.9233820282657454,0.0728051165233998,0.005300584991985822
