condition,RNAP,Ribo,copies,N,T_end,window_start,window_end,mean,sd,CV,CV2
Cond2,20,50,10,20,3000,2500,3000,6.223952095808384,0.8623153221356911,0.13854787261560553,0.019195513006310057
Cond2,20,100,10,20,3000,2500,3000,7.1987025948103796,1.257292776704805,0.17465546883562055,0.030504532794190423
Cond2,20,200,10,20,3000,2500,3000,7.607085828343314,1.6853233191234596,0.22154651033962275,0.04908285624366457
Cond2,20,300,10,20,3000,2500,3000,7.606986027944112,1.0199823247356479,0.13408494783463032,0.017978773235815534
Cond2,20,400,10,20,3000,2500,3000,7.97684630738523,1.605435193853895,0.20126189373456144,0.0405063498696219
Cond2,20,500,10,20,3000,2500,3000,7.933433133732535,1.4407882299708779,0.1816096771326808,0.03298207482823657
Cond2,35,50,10,20,3000,2500,3000,11.397904191616766,1.1290045201720398,0.09905369453819678,0.009811634401666394
Cond2,35,100,10,20,3000,2500,3000,11.426347305389223,2.213023604980591,0.19367725711757608,0.037510879924587674
Cond2,35,200,10,20,3000,2500,3000,12.295109780439123,1.9002426104049168,0.1545527160260174,0.02388654203101877
Cond2,35,300,10,20,3000,2500,3000,13.289021956087826,1.5446250130083456,0.11623315983015127,0.01351014744410149
Cond2,35,400,10,20,3000,2500,3000,12.470658682634731,1.4195287711153215,0.11382949427458883,0.01295715376680865
Cond2,35,500,10,20,3000,2500,3000,12.511776447105788,1.9313092498365738,0.15435931564165073,0.02382679832535876
Cond2,50,50,10,20,3000,2500,3000,14.347504990019962,2.338665571634726,0.16300155136809416,0.02656950574840544
Cond2,50,100,10,20,3000,2500,3000,16.087125748502995,2.030653344067592,0.12622847460843378,0.015933627801972012
Cond2,50,200,10,20,3000,2500,3000,15.997704590818364,2.020399102113883,0.1262930622730376,0.015949937578301356
Cond2,50,300,10,20,3000,2500,3000,16.856786427145703,2.0797974943009065,0.12338042623306054,0.015222729577451695
Cond2,50,400,10,20,3000,2500,3000,16.764870259481036,2.0538779195241212,0.12251081503971627,0.01500889980169557
Cond2,50,500,10,20,3000,2500,3000,17.057085828343315,1.942116117200306,0.11385978453442161,0.012964050534224914
Cond2,75,50,10,20,3000,2500,3000,20.306387225548903,2.403816579954291,0.1183773634007077,0.014013200165703212
Cond2,75,100,10,20,3000,2500,3000,22.340219560878246,2.281506581141443,0.10212552186088503,0.010429622215358106
Cond2,75,200,10,20,3000,2500,3000,22.4378243512974,2.7864175856575244,0.12418394680482504,0.015421652644023617
Cond2,75,300,10,20,3000,2500,3000,23.516666666666662,2.4761401625315105,0.10529299061083675,0.011086613871773754
Cond2,75,400,10,20,3000,2500,3000,23.633932135728543,1.8885563041024975,0.07990867931991211,0.006385397030652549
Cond2,75,500,10,20,3000,2500,3000,23.657485029940123,2.8445348093073894,0.12023825887271793,0.014457238896742731
Cond2,100,50,10,20,3000,2500,3000,24.165868263473055,2.888568860945166,0.11953093633764718,0.014287644741754663
Cond2,100,100,10,20,3000,2500,3000,26.18922155688623,2.3501023432991137,0.08973547908609657,0.008052456206811274
Cond2,100,200,10,20,3000,2500,3000,27.885728542914173,2.809699331073441,0.10075760892348613,0.010152095755978172
Cond2,100,300,10,20,3000,2500,3000,27.583632734530937,2.570081489616908,0.09317414839269945,0.008681421928704778
Cond2,100,400,10,20,3000,2500,3000,27.684530938123753,3.0976372901692484,0.11189054627989238,0.012519494346812739
Cond2,100,500,10,20,3000,2500,3000,28.633433133732535,2.982995385693688,0.10417875396783889,0.010853212778291507
Cond2,150,50,10,20,3000,2500,3000,30.855788423153694,2.7487226530158146,0.08908288504315828,0.007935760407612553
Cond2,150,100,10,20,3000,2500,3000,33.888023952095814,2.7604725400893004,0.08145864580335255,0.0066355109761160455
Cond2,150,200,10,20,3000,2500,3000,35.60389221556887,3.172114986377205,0.08909461266681687,0.007937850006250125
Cond2,150,300,10,20,3000,2500,3000,36.01197604790419,2.7975485666840965,0.07768383948058598,0.006034778916445448
Cond2,150,400,10,20,3000,2500,3000,37.23642714570858,2.8120141652635335,0.07551782973860348,0.005702942608428704
Cond2,150,500,10,20,3000,2500,3000,36.90678642714571,3.7532833556321785,0.10169629271411071,0.010342135951794087
Cond2,200,50,10,20,3000,2500,3000,35.08922155688623,2.8591268799253884,0.08148162749322341,0.006639255618944421
Cond2,200,100,10,20,3000,2500,3000,39.333433133732534,3.479099945063854,0.08845146909081175,0.007823662384322827
Cond2,200,200,10,20,3000,2500,3000,41.47115768463073,2.6470653829501423,0.0638290689418383,0.004074150041981947
Cond2,200,300,10,20,3000,2500,3000,43.03053892215569,2.6934982622443973,0.06259503900513691,0.003918138908054611
Cond2,200,400,10,20,3000,2500,3000,42.44251497005988,2.5509506099777317,0.060103662843194905,0.003612450287168448
Cond2,200,500,10,20,3000,2500,3000,44.04730538922156,2.6655045231420975,0.060514587659529114,0.003662015319602833
