time,mean_G,time,GA_mean,GB_mean,time,GA_mean,GB_mean
0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0
2,0,2,0,0,2,0,0
3,0,3,0,0,3,0,0
4,0,4,0,0,4,0,0
5,0,5,0,0,5,0,0
6,0,6,0,0,6,0,0
7,0,7,0,0.002,7,0,0
8,0,8,0,0.002,8,0,0
9,0,9,0,0.002,9,0,0
10,0,10,0,0.002,10,0,0
11,0,11,0,0.002,11,0,0.002
12,0.002,12,0,0.002,12,0,0.004
13,0.002,13,0,0.002,13,0,0.004
14,0.002,14,0,0.002,14,0,0.004
15,0.002,15,0,0.004,15,0,0.006
16,0.004,16,0,0.004,16,0.002,0.006
17,0.004,17,0,0.004,17,0.002,0.006
18,0.004,18,0,0.004,18,0.004,0.008
19,0.004,19,0,0.006,19,0.006,0.01
20,0.004,20,0,0.006,20,0.006,0.016
21,0.008,21,0,0.006,21,0.006,0.018
22,0.01,22,0,0.006,22,0.008,0.02
23,0.012,23,0,0.008,23,0.012,0.024
24,0.012,24,0,0.008,24,0.014,0.022
25,0.014,25,0,0.01,25,0.018,0.024
26,0.014,26,0,0.014,26,0.018,0.024
27,0.016,27,0,0.016,27,0.022,0.026
28,0.018,28,0,0.016,28,0.024,0.028
29,0.018,29,0,0.016,29,0.024,0.036
30,0.02,30,0,0.02,30,0.032,0.036
31,0.022,31,0,0.022,31,0.036,0.042
32,0.026,32,0,0.032,32,0.038,0.044
33,0.03,33,0,0.034,33,0.042,0.046
34,0.032,34,0,0.04,34,0.048,0.058
35,0.034,35,0,0.046,35,0.05,0.066
36,0.038,36,0,0.05,36,0.052,0.068
37,0.042,37,0,0.05,37,0.056,0.068
38,0.046,38,0,0.058,38,0.068,0.082
39,0.052,39,0,0.064,39,0.078,0.086
40,0.06,40,0,0.068,40,0.088,0.092
41,0.062,41,0,0.074,41,0.092,0.092
42,0.07,42,0,0.086,42,0.098,0.102
43,0.072,43,0,0.096,43,0.104,0.108
44,0.082,44,0,0.098,44,0.114,0.12
45,0.088,45,0,0.102,45,0.126,0.124
46,0.088,46,0,0.108,46,0.132,0.136
47,0.094,47,0,0.108,47,0.144,0.146
48,0.1,48,0,0.118,48,0.15,0.158
49,0.108,49,0,0.13,49,0.168,0.172
50,0.13,50,0,0.134,50,0.18,0.172
51,0.138,51,0,0.142,51,0.194,0.19
52,0.154,52,0,0.154,52,0.196,0.196
53,0.162,53,0,0.162,53,0.208,0.214
54,0.178,54,0,0.17,54,0.218,0.222
55,0.186,55,0,0.176,55,0.224,0.236
56,0.206,56,0,0.19,56,0.236,0.24
57,0.218,57,0,0.198,57,0.24,0.25
58,0.23,58,0,0.208,58,0.236,0.258
59,0.24,59,0,0.218,59,0.246,0.266
60,0.252,60,0,0.236,60,0.244,0.268
61,0.262,61,0,0.254,61,0.252,0.278
62,0.266,62,0,0.256,62,0.26,0.29
63,0.272,63,0,0.266,63,0.266,0.308
64,0.278,64,0,0.284,64,0.276,0.314
65,0.292,65,0,0.3,65,0.286,0.326
66,0.308,66,0,0.32,66,0.298,0.338
67,0.326,67,0,0.334,67,0.308,0.356
68,0.332,68,0,0.344,68,0.316,0.372
69,0.338,69,0,0.358,69,0.328,0.376
70,0.342,70,0,0.368,70,0.342,0.378
71,0.364,71,0,0.38,71,0.362,0.386
72,0.374,72,0,0.398,72,0.376,0.404
73,0.4,73,0,0.406,73,0.39,0.418
74,0.42,74,0,0.42,74,0.392,0.424
75,0.448,75,0,0.428,75,0.408,0.438
76,0.474,76,0,0.452,76,0.426,0.464
77,0.49,77,0,0.466,77,0.446,0.474
78,0.512,78,0,0.474,78,0.46,0.5
79,0.532,79,0,0.496,79,0.464,0.508
80,0.532,80,0,0.526,80,0.488,0.518
81,0.532,81,0,0.526,81,0.498,0.534
82,0.548,82,0,0.554,82,0.508,0.552
83,0.56,83,0,0.564,83,0.528,0.562
84,0.584,84,0,0.576,84,0.54,0.586
85,0.602,85,0,0.606,85,0.556,0.602
86,0.63,86,0,0.634,86,0.572,0.618
87,0.64,87,0,0.64,87,0.578,0.628
88,0.644,88,0,0.658,88,0.602,0.638
89,0.652,89,0,0.682,89,0.62,0.646
90,0.67,90,0,0.698,90,0.646,0.666
91,0.674,91,0,0.728,91,0.66,0.684
92,0.69,92,0,0.744,92,0.67,0.712
93,0.694,93,0,0.758,93,0.69,0.732
94,0.714,94,0,0.786,94,0.708,0.738
95,0.73,95,0,0.804,95,0.726,0.75
96,0.74,96,0,0.82,96,0.73,0.764
97,0.758,97,0,0.84,97,0.744,0.78
98,0.772,98,0,0.854,98,0.76,0.794
99,0.794,99,0,0.858,99,0.784,0.802
100,0.81,100,0,0.884,100,0.804,0.8
101,0.824,101,0,0.904,101,0.814,0.818
102,0.85,102,0,0.928,102,0.846,0.828
103,0.872,103,0,0.948,103,0.856,0.84
104,0.896,104,0,0.962,104,0.88,0.864
105,0.924,105,0,0.982,105,0.894,0.878
106,0.97,106,0,0.998,106,0.91,0.882
107,1.002,107,0,1.012,107,0.932,0.912
108,1.014,108,0,1.042,108,0.94,0.932
109,1.05,109,0,1.056,109,0.958,0.936
110,1.052,110,0,1.064,110,0.964,0.96
