time,GA_mean,GB_mean
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.002
8,0.0,0.002
9,0.0,0.002
10,0.0,0.002
11,0.0,0.002
12,0.0,0.002
13,0.0,0.002
14,0.0,0.002
15,0.0,0.004
16,0.0,0.004
17,0.0,0.004
18,0.0,0.004
19,0.0,0.006
20,0.0,0.006
21,0.0,0.006
22,0.0,0.006
23,0.0,0.008
24,0.0,0.008
25,0.0,0.01
26,0.0,0.014
27,0.0,0.016
28,0.0,0.016
29,0.0,0.016
30,0.0,0.02
31,0.0,0.022
32,0.0,0.032
33,0.0,0.034
34,0.0,0.04
35,0.0,0.046
36,0.0,0.05
37,0.0,0.05
38,0.0,0.058
39,0.0,0.064
40,0.0,0.068
41,0.0,0.074
42,0.0,0.086
43,0.0,0.096
44,0.0,0.098
45,0.0,0.102
46,0.0,0.108
47,0.0,0.108
48,0.0,0.118
49,0.0,0.13
50,0.0,0.134
51,0.0,0.142
52,0.0,0.154
53,0.0,0.162
54,0.0,0.17
55,0.0,0.176
56,0.0,0.19
57,0.0,0.198
58,0.0,0.208
59,0.0,0.218
60,0.0,0.236
61,0.0,0.254
62,0.0,0.256
63,0.0,0.266
64,0.0,0.284
65,0.0,0.3
66,0.0,0.32
67,0.0,0.334
68,0.0,0.344
69,0.0,0.358
70,0.0,0.368
71,0.0,0.38
72,0.0,0.398
73,0.0,0.406
74,0.0,0.42
75,0.0,0.428
76,0.0,0.452
77,0.0,0.466
78,0.0,0.474
79,0.0,0.496
80,0.0,0.526
81,0.0,0.526
82,0.0,0.554
83,0.0,0.564
84,0.0,0.576
85,0.0,0.606
86,0.0,0.634
87,0.0,0.64
88,0.0,0.658
89,0.0,0.682
90,0.0,0.698
91,0.0,0.728
92,0.0,0.744
93,0.0,0.758
94,0.0,0.786
95,0.0,0.804
96,0.0,0.82
97,0.0,0.84
98,0.0,0.854
99,0.0,0.858
100,0.0,0.884
101,0.0,0.904
102,0.0,0.928
103,0.0,0.948
104,0.0,0.962
105,0.0,0.982
106,0.0,0.998
107,0.0,1.012
108,0.0,1.042
109,0.0,1.056
110,0.0,1.064
111,0.0,1.068
112,0.0,1.096
113,0.0,1.114
114,0.0,1.146
115,0.0,1.16
116,0.0,1.174
117,0.0,1.208
118,0.0,1.236
119,0.0,1.242
120,0.0,1.252
121,0.0,1.296
122,0.0,1.326
123,0.0,1.35
124,0.0,1.368
125,0.0,1.382
126,0.0,1.398
127,0.0,1.412
128,0.0,1.416
129,0.0,1.432
130,0.0,1.448
131,0.0,1.466
132,0.0,1.496
133,0.0,1.512
134,0.0,1.542
135,0.0,1.564
136,0.0,1.582
137,0.0,1.604
138,0.0,1.636
139,0.0,1.638
140,0.0,1.67
141,0.0,1.678
142,0.0,1.696
143,0.0,1.724
144,0.0,1.748
145,0.0,1.758
146,0.0,1.778
147,0.0,1.79
148,0.0,1.822
149,0.0,1.848
150,0.0,1.872
151,0.0,1.894
152,0.0,1.912
153,0.0,1.952
154,0.0,1.964
155,0.0,1.984
156,0.0,2.016
157,0.0,2.046
158,0.0,2.078
159,0.0,2.112
160,0.0,2.134
161,0.0,2.184
162,0.0,2.206
163,0.0,2.23
164,0.0,2.248
165,0.0,2.29
166,0.0,2.306
167,0.0,2.316
168,0.0,2.314
169,0.0,2.348
170,0.0,2.38
171,0.0,2.386
172,0.0,2.424
173,0.0,2.442
174,0.0,2.48
175,0.0,2.508
176,0.0,2.55
177,0.0,2.582
178,0.0,2.586
179,0.0,2.608
180,0.0,2.638
181,0.0,2.656
182,0.0,2.706
183,0.0,2.718
184,0.0,2.732
185,0.0,2.746
186,0.0,2.766
187,0.0,2.782
188,0.0,2.816
189,0.0,2.838
190,0.0,2.868
191,0.0,2.906
192,0.0,2.94
193,0.0,2.978
194,0.0,3.012
195,0.0,3.06
196,0.0,3.096
197,0.0,3.14
198,0.0,3.178
199,0.0,3.194
200,0.0,3.216
201,0.0,3.244
202,0.0,3.26
203,0.0,3.274
204,0.0,3.302
205,0.0,3.344
206,0.0,3.378
207,0.0,3.39
208,0.0,3.444
209,0.0,3.474
210,0.0,3.46
211,0.0,3.488
212,0.0,3.526
213,0.0,3.568
214,0.0,3.592
215,0.0,3.606
216,0.0,3.634
217,0.0,3.634
218,0.0,3.682
219,0.0,3.716
220,0.0,3.75
221,0.0,3.774
222,0.0,3.79
223,0.0,3.818
224,0.0,3.864
225,0.0,3.924
226,0.0,3.97
227,0.0,3.988
228,0.0,4.014
229,0.0,4.046
230,0.0,4.074
231,0.0,4.088
232,0.0,4.122
233,0.0,4.142
234,0.0,4.182
235,0.0,4.222
236,0.0,4.252
237,0.0,4.28
238,0.0,4.318
239,0.0,4.366
240,0.0,4.392
241,0.0,4.458
242,0.0,4.512
243,0.0,4.54
244,0.0,4.566
245,0.0,4.59
246,0.0,4.636
247,0.0,4.658
248,0.0,4.682
249,0.0,4.736
250,0.0,4.758
251,0.0,4.784
252,0.0,4.812
253,0.0,4.83
254,0.0,4.858
255,0.0,4.898
256,0.0,4.924
257,0.0,4.99
258,0.0,5.024
259,0.0,5.042
260,0.0,5.054
261,0.0,5.088
262,0.0,5.132
263,0.0,5.176
264,0.0,5.19
265,0.0,5.242
266,0.0,5.296
267,0.0,5.33
268,0.0,5.362
269,0.0,5.412
270,0.0,5.418
271,0.0,5.452
272,0.0,5.476
273,0.0,5.504
274,0.0,5.524
275,0.0,5.546
276,0.0,5.576
277,0.0,5.604
278,0.0,5.614
279,0.0,5.65
280,0.0,5.666
281,0.0,5.684
282,0.0,5.684
283,0.0,5.71
284,0.0,5.72
285,0.0,5.778
286,0.0,5.826
287,0.0,5.85
288,0.0,5.906
289,0.0,5.936
290,0.0,5.958
291,0.0,5.974
292,0.0,6.032
293,0.0,6.072
294,0.0,6.082
295,0.0,6.106
296,0.0,6.11
297,0.0,6.14
298,0.0,6.174
299,0.0,6.218
300,0.0,6.286
301,0.0,6.342
302,0.0,6.374
303,0.0,6.4
304,0.0,6.434
305,0.0,6.464
306,0.0,6.486
307,0.0,6.53
308,0.0,6.546
309,0.0,6.58
310,0.0,6.606
311,0.0,6.6
312,0.0,6.616
313,0.0,6.634
314,0.0,6.68
315,0.0,6.712
316,0.0,6.734
317,0.0,6.776
318,0.0,6.826
319,0.0,6.868
320,0.0,6.888
321,0.0,6.886
322,0.0,6.944
323,0.0,6.966
324,0.0,6.988
325,0.0,7.026
326,0.0,7.07
327,0.0,7.102
328,0.0,7.14
329,0.0,7.192
330,0.0,7.216
331,0.0,7.248
332,0.0,7.284
333,0.0,7.306
334,0.0,7.358
335,0.0,7.396
336,0.0,7.44
337,0.0,7.478
338,0.0,7.512
339,0.0,7.53
340,0.0,7.552
341,0.0,7.594
342,0.0,7.63
343,0.0,7.65
344,0.0,7.658
345,0.0,7.684
346,0.0,7.72
347,0.0,7.752
348,0.0,7.77
349,0.0,7.802
350,0.0,7.836
351,0.0,7.88
352,0.0,7.918
353,0.0,7.958
354,0.0,7.976
355,0.0,8.018
356,0.0,8.048
357,0.0,8.066
358,0.0,8.08
359,0.0,8.092
360,0.0,8.1
361,0.0,8.104
362,0.0,8.168
363,0.0,8.184
364,0.0,8.238
365,0.0,8.304
366,0.0,8.324
367,0.0,8.34
368,0.0,8.384
369,0.0,8.388
370,0.0,8.454
371,0.0,8.522
372,0.0,8.548
373,0.0,8.578
374,0.0,8.612
375,0.0,8.664
376,0.0,8.69
377,0.0,8.708
378,0.0,8.712
379,0.0,8.712
380,0.0,8.706
381,0.0,8.76
382,0.0,8.806
383,0.0,8.856
384,0.0,8.894
385,0.0,8.922
386,0.0,8.962
387,0.0,8.962
388,0.0,9.03
389,0.0,9.082
390,0.0,9.124
391,0.0,9.156
392,0.0,9.192
393,0.0,9.222
394,0.0,9.268
395,0.0,9.278
396,0.0,9.308
397,0.0,9.326
398,0.0,9.336
399,0.0,9.386
400,0.0,9.418
401,0.0,9.436
402,0.0,9.494
403,0.0,9.524
404,0.0,9.578
405,0.0,9.648
406,0.0,9.69
407,0.0,9.714
408,0.0,9.752
409,0.0,9.794
410,0.0,9.838
411,0.0,9.84
412,0.0,9.87
413,0.0,9.894
414,0.0,9.934
415,0.0,9.938
416,0.0,9.954
417,0.0,9.972
418,0.0,9.964
419,0.0,10.0
420,0.0,10.02
421,0.0,10.026
422,0.0,10.046
423,0.0,10.028
424,0.0,10.04
425,0.0,10.09
