time,mean_G
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.002
13,0.002
14,0.002
15,0.002
16,0.004
17,0.004
18,0.004
19,0.004
20,0.004
21,0.008
22,0.01
23,0.012
24,0.012
25,0.014
26,0.014
27,0.016
28,0.018
29,0.018
30,0.02
31,0.022
32,0.026
33,0.03
34,0.032
35,0.034
36,0.038
37,0.042
38,0.046
39,0.052
40,0.06
41,0.062
42,0.07
43,0.072
44,0.082
45,0.088
46,0.088
47,0.094
48,0.1
49,0.108
50,0.13
51,0.138
52,0.154
53,0.162
54,0.178
55,0.186
56,0.206
57,0.218
58,0.23
59,0.24
60,0.252
61,0.262
62,0.266
63,0.272
64,0.278
65,0.292
66,0.308
67,0.326
68,0.332
69,0.338
70,0.342
71,0.364
72,0.374
73,0.4
74,0.42
75,0.448
76,0.474
77,0.49
78,0.512
79,0.532
80,0.532
81,0.532
82,0.548
83,0.56
84,0.584
85,0.602
86,0.63
87,0.64
88,0.644
89,0.652
90,0.67
91,0.674
92,0.69
93,0.694
94,0.714
95,0.73
96,0.74
97,0.758
98,0.772
99,0.794
100,0.81
101,0.824
102,0.85
103,0.872
104,0.896
105,0.924
106,0.97
107,1.002
108,1.014
109,1.05
110,1.052
111,1.074
112,1.094
113,1.106
114,1.134
115,1.158
116,1.186
117,1.22
118,1.236
119,1.256
120,1.27
121,1.312
122,1.338
123,1.362
124,1.37
125,1.392
126,1.424
127,1.448
128,1.47
129,1.494
130,1.51
131,1.528
132,1.554
133,1.596
134,1.602
135,1.62
136,1.644
137,1.658
138,1.664
139,1.676
140,1.726
141,1.748
142,1.778
143,1.794
144,1.798
145,1.812
146,1.826
147,1.852
148,1.874
149,1.888
150,1.916
151,1.946
152,1.968
153,1.998
154,2.024
155,2.046
156,2.064
157,2.066
158,2.09
159,2.132
160,2.168
161,2.202
162,2.208
163,2.224
164,2.238
165,2.25
166,2.244
167,2.258
168,2.272
169,2.302
170,2.314
171,2.332
172,2.36
173,2.39
174,2.394
175,2.406
176,2.418
177,2.436
178,2.452
179,2.482
180,2.504
181,2.504
182,2.532
183,2.56
184,2.598
185,2.612
186,2.632
187,2.674
188,2.678
189,2.694
190,2.762
191,2.772
192,2.796
193,2.818
194,2.808
195,2.834
196,2.85
197,2.85
198,2.882
199,2.938
200,2.982
201,3.008
202,3.05
203,3.09
204,3.118
205,3.15
206,3.172
207,3.196
208,3.23
209,3.234
210,3.242
211,3.26
212,3.29
213,3.316
214,3.35
215,3.38
216,3.404
217,3.42
218,3.452
219,3.478
220,3.52
221,3.546
222,3.588
223,3.606
224,3.65
225,3.666
226,3.692
227,3.726
228,3.75
229,3.798
230,3.848
231,3.858
232,3.886
233,3.916
234,3.916
235,3.952
236,3.986
237,4.018
238,4.064
239,4.102
240,4.154
241,4.162
242,4.19
243,4.226
244,4.242
245,4.248
246,4.298
247,4.306
248,4.316
249,4.366
250,4.414
251,4.424
252,4.452
253,4.482
254,4.51
255,4.52
256,4.566
257,4.578
258,4.602
259,4.642
260,4.694
261,4.712
262,4.74
263,4.786
264,4.826
265,4.876
266,4.908
267,4.93
268,4.992
269,5.03
270,5.072
271,5.108
272,5.132
273,5.172
274,5.174
275,5.242
276,5.29
277,5.304
278,5.336
279,5.368
280,5.404
281,5.442
282,5.48
283,5.538
284,5.588
285,5.616
286,5.636
287,5.662
288,5.712
289,5.726
290,5.756
291,5.816
292,5.86
293,5.89
294,5.922
295,5.928
296,5.934
297,5.976
298,6.042
299,6.07
300,6.098
301,6.156
302,6.178
303,6.202
304,6.234
305,6.252
306,6.274
307,6.312
308,6.334
309,6.358
310,6.398
311,6.448
312,6.478
313,6.484
314,6.524
315,6.554
316,6.534
317,6.576
318,6.61
319,6.626
320,6.656
321,6.642
322,6.706
323,6.722
324,6.76
325,6.798
326,6.826
327,6.894
328,6.908
329,6.944
330,6.974
331,7.006
332,7.014
333,7.076
334,7.14
335,7.182
336,7.176
337,7.23
338,7.246
339,7.274
340,7.308
341,7.344
342,7.35
343,7.37
344,7.4
345,7.398
346,7.416
347,7.442
348,7.462
349,7.5
350,7.538
351,7.572
352,7.586
353,7.626
354,7.65
355,7.676
356,7.7
357,7.714
358,7.762
359,7.804
360,7.838
361,7.868
362,7.88
363,7.9
364,7.944
365,7.98
366,8.032
367,8.044
368,8.06
369,8.084
370,8.112
371,8.156
372,8.182
373,8.22
374,8.27
375,8.32
376,8.358
377,8.386
378,8.43
379,8.472
380,8.536
381,8.544
382,8.592
383,8.626
384,8.614
385,8.648
386,8.672
387,8.69
388,8.754
389,8.778
390,8.804
391,8.838
392,8.894
393,8.938
394,8.976
395,9.016
396,9.07
397,9.122
398,9.182
399,9.21
400,9.228
401,9.238
402,9.262
403,9.284
404,9.306
405,9.318
406,9.32
407,9.362
408,9.4
409,9.422
410,9.438
411,9.48
412,9.492
413,9.528
414,9.552
415,9.556
416,9.582
417,9.572
418,9.604
419,9.616
420,9.628
421,9.63
422,9.67
423,9.698
424,9.718
425,9.766
426,9.824
427,9.864
428,9.884
429,9.928
430,9.926
431,9.928
432,9.946
433,9.968
434,9.98
435,10.0
436,10.034
437,10.088
438,10.114
439,10.118
440,10.154
441,10.182
442,10.186
443,10.218
444,10.24
445,10.266
446,10.25
447,10.282
448,10.298
449,10.31
450,10.334
451,10.354
452,10.358
453,10.392
454,10.416
455,10.452
456,10.506
457,10.542
458,10.564
459,10.548
460,10.592
461,10.62
462,10.646
463,10.702
464,10.704
465,10.71
466,10.738
467,10.746
468,10.782
469,10.82
470,10.87
471,10.912
472,10.9
473,10.926
474,10.938
475,10.954
476,10.99
477,11.028
478,11.036
479,11.092
480,11.1
481,11.128
482,11.132
483,11.18
484,11.162
485,11.182
486,11.212
487,11.28
488,11.284
489,11.276
490,11.312
491,11.336
492,11.348
493,11.336
494,11.362
495,11.394
496,11.408
497,11.5
498,11.496
499,11.512
500,11.53
501,11.54
502,11.534
503,11.572
504,11.574
505,11.594
506,11.634
507,11.64
508,11.662
509,11.632
510,11.676
511,11.69
512,11.714
513,11.728
514,11.764
515,11.778
516,11.768
517,11.776
518,11.81
519,11.794
520,11.782
521,11.796
522,11.798
523,11.822
524,11.812
525,11.852
526,11.872
527,11.884
528,11.892
529,11.886
530,11.91
531,11.95
532,11.988
533,11.99
534,11.988
535,12.034
536,12.058
537,12.08
538,12.088
539,12.124
540,12.144
541,12.162
542,12.194
543,12.244
544,12.256
545,12.314
546,12.312
547,12.336
548,12.342
549,12.428
550,12.39
551,12.416
552,12.448
553,12.456
554,12.468
555,12.506
556,12.526
557,12.578
558,12.586
559,12.63
560,12.66
561,12.656
562,12.638
563,12.634
564,12.66
565,12.696
566,12.732
567,12.768
568,12.816
569,12.816
570,12.82
571,12.812
