time,GA_mean,GB_mean
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.004
21,0.0,0.004
22,0.0,0.006
23,0.0,0.006
24,0.0,0.008
25,0.0,0.012
26,0.0,0.014
27,0.0,0.016
28,0.0,0.02
29,0.0,0.024
30,0.0,0.026
31,0.0,0.03
32,0.0,0.038
33,0.0,0.036
34,0.0,0.044
35,0.0,0.046
36,0.0,0.05
37,0.0,0.056
38,0.0,0.06
39,0.0,0.062
40,0.0,0.072
41,0.0,0.078
42,0.0,0.08
43,0.0,0.084
44,0.0,0.092
45,0.0,0.096
46,0.0,0.104
47,0.0,0.114
48,0.0,0.12
49,0.0,0.134
50,0.0,0.144
51,0.0,0.142
52,0.0,0.154
53,0.0,0.174
54,0.0,0.178
55,0.0,0.188
56,0.0,0.2
57,0.0,0.212
58,0.0,0.216
59,0.0,0.226
60,0.0,0.248
61,0.0,0.258
62,0.0,0.264
63,0.0,0.278
64,0.0,0.282
65,0.0,0.304
66,0.0,0.31
67,0.0,0.32
68,0.0,0.326
69,0.0,0.334
70,0.0,0.348
71,0.0,0.358
72,0.0,0.368
73,0.0,0.384
74,0.0,0.392
75,0.0,0.404
76,0.0,0.418
77,0.0,0.428
78,0.0,0.452
79,0.0,0.476
80,0.0,0.496
81,0.0,0.52
82,0.0,0.54
83,0.0,0.55
84,0.0,0.556
85,0.0,0.566
86,0.0,0.584
87,0.0,0.598
88,0.0,0.614
89,0.0,0.642
90,0.0,0.656
91,0.0,0.664
92,0.0,0.686
93,0.0,0.702
94,0.0,0.732
95,0.0,0.76
96,0.0,0.776
97,0.0,0.784
98,0.0,0.792
99,0.0,0.814
100,0.0,0.844
101,0.0,0.852
102,0.0,0.874
103,0.0,0.902
104,0.0,0.926
105,0.0,0.944
106,0.0,0.962
107,0.0,0.976
108,0.0,0.998
109,0.0,1.01
110,0.0,1.018
111,0.0,1.036
112,0.0,1.06
113,0.0,1.078
114,0.0,1.104
115,0.0,1.132
116,0.0,1.16
117,0.0,1.196
118,0.0,1.212
119,0.0,1.238
120,0.0,1.258
121,0.0,1.29
122,0.0,1.312
123,0.0,1.342
124,0.0,1.34
125,0.0,1.352
126,0.0,1.376
127,0.0,1.388
128,0.0,1.414
129,0.0,1.43
130,0.0,1.426
131,0.0,1.446
132,0.0,1.452
133,0.0,1.464
134,0.0,1.472
135,0.0,1.482
136,0.0,1.502
137,0.0,1.52
138,0.0,1.536
139,0.0,1.548
140,0.0,1.572
141,0.0,1.596
142,0.0,1.608
143,0.0,1.626
144,0.0,1.646
145,0.0,1.648
146,0.0,1.678
147,0.0,1.71
148,0.0,1.712
149,0.0,1.726
150,0.0,1.732
151,0.0,1.752
152,0.0,1.78
153,0.0,1.802
154,0.0,1.82
155,0.0,1.824
156,0.0,1.824
157,0.0,1.842
158,0.0,1.864
159,0.0,1.874
160,0.0,1.88
161,0.0,1.924
162,0.0,1.938
163,0.0,1.956
164,0.0,1.98
165,0.0,2.004
166,0.0,2.03
167,0.0,2.062
168,0.0,2.086
169,0.0,2.1
170,0.0,2.12
171,0.0,2.124
172,0.0,2.124
173,0.0,2.148
174,0.0,2.16
175,0.0,2.188
176,0.0,2.212
177,0.0,2.224
178,0.0,2.26
179,0.0,2.296
180,0.0,2.308
181,0.0,2.306
182,0.0,2.324
183,0.0,2.314
184,0.0,2.312
185,0.0,2.334
186,0.0,2.346
187,0.0,2.36
188,0.0,2.394
189,0.0,2.404
190,0.0,2.452
191,0.0,2.48
192,0.0,2.498
193,0.0,2.498
194,0.0,2.514
195,0.0,2.552
196,0.0,2.572
197,0.0,2.616
198,0.0,2.644
199,0.0,2.696
200,0.0,2.716
201,0.0,2.73
202,0.0,2.762
203,0.0,2.792
204,0.0,2.824
205,0.0,2.852
206,0.0,2.862
207,0.0,2.862
208,0.0,2.888
209,0.0,2.908
210,0.0,2.938
211,0.0,2.986
212,0.0,3.008
213,0.0,3.032
214,0.0,3.054
215,0.0,3.08
216,0.0,3.09
217,0.0,3.106
218,0.0,3.116
219,0.0,3.14
220,0.0,3.166
221,0.0,3.16
222,0.0,3.182
223,0.0,3.18
224,0.0,3.198
225,0.0,3.224
226,0.0,3.272
227,0.0,3.278
228,0.0,3.298
229,0.0,3.308
230,0.0,3.33
231,0.0,3.364
232,0.0,3.388
233,0.0,3.432
234,0.0,3.476
235,0.0,3.52
236,0.0,3.544
237,0.0,3.566
238,0.0,3.57
239,0.0,3.586
240,0.0,3.63
241,0.0,3.678
242,0.0,3.71
243,0.0,3.732
244,0.0,3.736
245,0.0,3.754
246,0.0,3.758
247,0.0,3.792
248,0.0,3.822
249,0.0,3.85
250,0.0,3.86
251,0.0,3.896
252,0.0,3.936
253,0.0,3.98
254,0.0,4.01
255,0.0,4.036
256,0.0,4.036
257,0.0,4.066
258,0.0,4.078
259,0.0,4.096
260,0.0,4.154
261,0.0,4.17
262,0.0,4.162
263,0.0,4.172
264,0.0,4.19
265,0.0,4.208
266,0.0,4.226
267,0.0,4.252
268,0.0,4.282
269,0.0,4.312
270,0.0,4.326
271,0.0,4.344
272,0.0,4.376
273,0.0,4.396
274,0.0,4.408
275,0.0,4.43
276,0.0,4.462
277,0.0,4.49
278,0.0,4.526
279,0.0,4.532
280,0.0,4.544
281,0.0,4.572
282,0.0,4.592
283,0.0,4.6
284,0.0,4.606
285,0.0,4.606
286,0.0,4.622
287,0.0,4.628
288,0.0,4.664
289,0.0,4.678
290,0.0,4.696
291,0.0,4.678
292,0.0,4.712
293,0.0,4.738
294,0.0,4.746
295,0.0,4.766
296,0.0,4.8
297,0.0,4.82
298,0.0,4.854
299,0.0,4.876
300,0.0,4.868
301,0.0,4.902
302,0.0,4.926
303,0.0,4.964
304,0.0,5.004
305,0.0,5.032
306,0.0,5.054
307,0.0,5.07
308,0.0,5.104
309,0.0,5.09
310,0.0,5.12
311,0.0,5.148
312,0.0,5.176
313,0.0,5.22
314,0.0,5.236
315,0.0,5.272
316,0.0,5.286
317,0.0,5.308
318,0.0,5.37
319,0.0,5.41
320,0.0,5.454
321,0.0,5.492
322,0.0,5.506
323,0.0,5.528
324,0.0,5.572
325,0.0,5.584
326,0.0,5.622
327,0.0,5.632
328,0.0,5.636
329,0.0,5.68
330,0.0,5.722
331,0.0,5.758
332,0.0,5.798
333,0.0,5.82
334,0.0,5.834
335,0.0,5.858
336,0.0,5.894
337,0.0,5.916
338,0.0,5.946
339,0.0,5.964
340,0.0,5.986
341,0.0,5.992
342,0.0,5.986
343,0.0,6.022
344,0.0,6.058
345,0.0,6.094
346,0.0,6.12
347,0.0,6.146
348,0.0,6.202
349,0.0,6.21
350,0.0,6.222
351,0.0,6.256
352,0.0,6.276
353,0.0,6.294
354,0.0,6.33
355,0.0,6.394
356,0.0,6.442
357,0.0,6.49
358,0.0,6.524
359,0.0,6.576
360,0.0,6.576
361,0.0,6.608
362,0.0,6.65
363,0.0,6.678
364,0.0,6.678
365,0.0,6.708
366,0.0,6.708
367,0.0,6.716
368,0.0,6.722
369,0.0,6.766
370,0.0,6.788
371,0.0,6.788
372,0.0,6.8
373,0.0,6.86
374,0.0,6.916
375,0.0,6.928
376,0.0,6.976
377,0.0,6.994
378,0.0,7.006
379,0.0,7.004
380,0.0,7.026
381,0.0,7.044
382,0.0,7.086
383,0.0,7.096
384,0.0,7.14
385,0.0,7.166
386,0.0,7.186
387,0.0,7.228
388,0.0,7.266
389,0.0,7.314
390,0.0,7.38
391,0.0,7.412
392,0.0,7.454
393,0.0,7.512
394,0.0,7.52
395,0.0,7.534
396,0.0,7.564
397,0.0,7.606
398,0.0,7.654
399,0.0,7.684
400,0.0,7.686
401,0.0,7.672
402,0.0,7.68
403,0.0,7.692
404,0.0,7.716
405,0.0,7.748
406,0.0,7.77
407,0.0,7.774
408,0.0,7.818
409,0.0,7.86
410,0.0,7.892
411,0.0,7.948
412,0.0,7.952
413,0.0,7.96
414,0.0,8.014
415,0.0,8.048
416,0.0,8.086
417,0.0,8.142
418,0.0,8.15
419,0.0,8.166
420,0.0,8.21
421,0.0,8.256
422,0.0,8.278
423,0.0,8.324
424,0.0,8.366
425,0.0,8.376
