time,GLas_mean,GLux_mean,G_total_mean
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.002,0.0,0.002
8,0.002,0.0,0.002
9,0.004,0.0,0.004
10,0.004,0.0,0.004
11,0.004,0.0,0.004
12,0.006,0.002,0.008
13,0.006,0.002,0.008
14,0.006,0.002,0.008
15,0.006,0.002,0.008
16,0.006,0.002,0.008
17,0.006,0.002,0.008
18,0.01,0.002,0.012
19,0.014,0.004,0.018
20,0.018,0.004,0.022
21,0.018,0.004,0.022
22,0.018,0.008,0.026
23,0.018,0.01,0.028
24,0.018,0.014,0.032
25,0.018,0.014,0.032
26,0.02,0.016,0.036
27,0.026,0.018,0.044
28,0.032,0.028,0.06
29,0.034,0.034,0.068
30,0.034,0.034,0.068
31,0.04,0.04,0.08
32,0.042,0.046,0.088
33,0.042,0.048,0.09
34,0.054,0.052,0.106
35,0.058,0.058,0.116
36,0.068,0.06,0.128
37,0.07,0.066,0.136
38,0.08,0.068,0.148
39,0.088,0.072,0.16
40,0.098,0.078,0.176
41,0.106,0.092,0.198
42,0.106,0.1,0.206
43,0.114,0.116,0.23
44,0.122,0.12,0.242
45,0.128,0.124,0.252
46,0.136,0.126,0.262
47,0.14,0.126,0.266
48,0.144,0.134,0.278
49,0.144,0.138,0.282
50,0.144,0.14,0.284
51,0.152,0.152,0.304
52,0.164,0.17,0.334
53,0.166,0.176,0.342
54,0.174,0.178,0.352
55,0.178,0.19,0.368
56,0.196,0.206,0.402
57,0.206,0.21,0.416
58,0.21,0.214,0.424
59,0.212,0.218,0.43
60,0.214,0.232,0.446
61,0.216,0.244,0.46
62,0.228,0.256,0.484
63,0.25,0.264,0.514
64,0.264,0.28,0.544
65,0.274,0.282,0.556
66,0.286,0.284,0.57
67,0.288,0.292,0.58
68,0.292,0.312,0.604
69,0.302,0.326,0.628
70,0.314,0.334,0.648
71,0.326,0.348,0.674
72,0.336,0.356,0.692
73,0.34,0.364,0.704
74,0.344,0.37,0.714
75,0.346,0.384,0.73
76,0.368,0.398,0.766
77,0.372,0.414,0.786
78,0.38,0.432,0.812
79,0.404,0.44,0.844
80,0.418,0.452,0.87
81,0.426,0.47,0.896
82,0.446,0.496,0.942
83,0.446,0.504,0.95
84,0.46,0.518,0.978
85,0.48,0.528,1.008
86,0.494,0.532,1.026
87,0.518,0.552,1.07
88,0.544,0.566,1.11
89,0.544,0.572,1.116
90,0.57,0.578,1.148
91,0.594,0.588,1.182
92,0.614,0.602,1.216
93,0.632,0.62,1.252
94,0.648,0.648,1.296
95,0.668,0.658,1.326
96,0.69,0.684,1.374
97,0.7,0.694,1.394
98,0.708,0.708,1.416
99,0.718,0.734,1.452
100,0.732,0.758,1.49
101,0.736,0.774,1.51
102,0.728,0.776,1.504
103,0.762,0.81,1.572
104,0.78,0.83,1.61
105,0.812,0.842,1.654
106,0.82,0.85,1.67
107,0.84,0.85,1.69
108,0.846,0.862,1.708
109,0.874,0.86,1.734
110,0.894,0.88,1.774
111,0.91,0.89,1.8
112,0.93,0.902,1.832
113,0.934,0.934,1.868
114,0.952,0.948,1.9
115,0.966,0.95,1.916
116,0.972,0.964,1.936
117,0.98,0.976,1.956
118,1.002,0.992,1.994
119,1.018,0.998,2.016
120,1.028,1.008,2.036
121,1.036,1.022,2.058
122,1.072,1.052,2.124
123,1.08,1.07,2.15
124,1.08,1.09,2.17
125,1.094,1.098,2.192
126,1.116,1.104,2.22
127,1.122,1.13,2.252
128,1.136,1.176,2.312
129,1.164,1.196,2.36
130,1.196,1.212,2.408
131,1.2,1.234,2.434
132,1.21,1.242,2.452
133,1.252,1.248,2.5
134,1.26,1.274,2.534
135,1.272,1.296,2.568
136,1.282,1.302,2.584
137,1.302,1.318,2.62
138,1.32,1.346,2.666
139,1.35,1.358,2.708
140,1.364,1.382,2.746
141,1.374,1.386,2.76
142,1.394,1.392,2.786
143,1.426,1.402,2.828
144,1.448,1.416,2.864
145,1.478,1.416,2.894
146,1.484,1.414,2.898
147,1.482,1.432,2.914
148,1.484,1.458,2.942
149,1.5,1.488,2.988
150,1.52,1.504,3.024
151,1.532,1.526,3.058
152,1.556,1.54,3.096
153,1.578,1.578,3.156
154,1.58,1.572,3.152
155,1.594,1.592,3.186
156,1.606,1.628,3.234
157,1.618,1.658,3.276
158,1.626,1.684,3.31
159,1.644,1.7,3.344
160,1.686,1.712,3.398
161,1.704,1.74,3.444
162,1.714,1.764,3.478
163,1.72,1.786,3.506
164,1.766,1.788,3.554
165,1.782,1.804,3.586
166,1.82,1.816,3.636
167,1.836,1.818,3.654
168,1.842,1.832,3.674
169,1.85,1.864,3.714
170,1.858,1.864,3.722
171,1.876,1.864,3.74
172,1.916,1.884,3.8
173,1.932,1.908,3.84
174,1.956,1.93,3.886
175,1.976,1.96,3.936
176,2.014,1.968,3.982
177,2.034,1.968,4.002
178,2.042,1.968,4.01
179,2.062,1.982,4.044
180,2.08,1.998,4.078
181,2.096,2.016,4.112
182,2.114,2.032,4.146
183,2.13,2.05,4.18
184,2.144,2.064,4.208
185,2.148,2.074,4.222
186,2.172,2.088,4.26
187,2.196,2.108,4.304
188,2.214,2.108,4.322
189,2.212,2.114,4.326
190,2.228,2.122,4.35
191,2.24,2.134,4.374
192,2.266,2.16,4.426
193,2.274,2.194,4.468
194,2.294,2.214,4.508
195,2.302,2.228,4.53
196,2.318,2.23,4.548
197,2.34,2.246,4.586
198,2.336,2.252,4.588
199,2.336,2.286,4.622
200,2.354,2.312,4.666
201,2.38,2.33,4.71
202,2.39,2.358,4.748
203,2.408,2.388,4.796
204,2.398,2.41,4.808
205,2.422,2.418,4.84
206,2.44,2.428,4.868
