time,mean_G
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.002
15,0.004
16,0.008
17,0.008
18,0.008
19,0.012
20,0.012
21,0.018
22,0.02
23,0.02
24,0.028
25,0.032
26,0.042
27,0.048
28,0.05
29,0.058
30,0.062
31,0.062
32,0.07
33,0.078
34,0.094
35,0.108
36,0.12
37,0.13
38,0.148
39,0.162
40,0.174
41,0.188
42,0.194
43,0.208
44,0.226
45,0.24
46,0.246
47,0.258
48,0.276
49,0.284
50,0.282
51,0.298
52,0.306
53,0.312
54,0.33
55,0.346
56,0.366
57,0.378
58,0.392
59,0.412
60,0.42
61,0.448
62,0.482
63,0.506
64,0.522
65,0.55
66,0.568
67,0.596
68,0.61
69,0.636
70,0.654
71,0.668
72,0.684
73,0.718
74,0.74
75,0.768
76,0.784
77,0.79
78,0.814
79,0.84
80,0.872
81,0.894
82,0.932
83,0.95
84,0.972
85,0.99
86,1.014
87,1.052
88,1.076
89,1.1
90,1.112
91,1.14
92,1.182
93,1.212
94,1.216
95,1.264
96,1.296
97,1.316
98,1.334
99,1.36
100,1.388
101,1.404
102,1.43
103,1.476
104,1.496
105,1.53
106,1.578
107,1.628
108,1.668
109,1.718
110,1.752
111,1.794
112,1.82
113,1.856
114,1.888
115,1.934
116,1.988
117,2.014
118,2.056
119,2.064
120,2.1
121,2.152
122,2.176
123,2.188
124,2.226
125,2.256
126,2.286
127,2.31
128,2.346
129,2.372
130,2.434
131,2.462
132,2.492
133,2.522
134,2.538
135,2.552
136,2.582
137,2.616
138,2.656
139,2.686
140,2.72
141,2.756
142,2.812
143,2.846
144,2.912
145,2.942
146,2.986
147,3.006
148,3.064
149,3.112
150,3.162
151,3.192
152,3.246
153,3.3
154,3.352
155,3.38
156,3.418
157,3.454
158,3.498
159,3.542
160,3.554
161,3.598
162,3.66
163,3.682
164,3.718
165,3.754
166,3.802
167,3.822
168,3.86
169,3.87
170,3.914
171,3.97
172,4.03
173,4.058
174,4.114
175,4.146
176,4.19
177,4.212
178,4.258
179,4.286
180,4.322
181,4.36
182,4.36
183,4.386
184,4.434
185,4.466
186,4.536
187,4.582
188,4.608
189,4.638
190,4.682
191,4.726
192,4.808
193,4.882
194,4.904
195,4.948
196,5.002
197,5.024
198,5.088
199,5.12
200,5.164
201,5.2
202,5.272
203,5.306
204,5.372
205,5.422
206,5.436
207,5.454
208,5.478
209,5.516
210,5.564
211,5.602
212,5.66
213,5.69
214,5.748
215,5.774
216,5.842
217,5.88
218,5.936
219,5.984
220,6.024
221,6.1
222,6.134
223,6.172
224,6.232
225,6.322
226,6.368
227,6.414
228,6.446
229,6.478
230,6.548
231,6.604
232,6.688
233,6.75
234,6.802
235,6.872
236,6.918
237,6.974
238,7.052
239,7.092
240,7.122
241,7.142
242,7.184
243,7.254
244,7.29
245,7.326
246,7.4
247,7.44
248,7.518
249,7.526
250,7.602
251,7.63
252,7.698
253,7.724
254,7.784
255,7.872
256,7.896
257,7.948
258,8.024
259,8.066
260,8.088
261,8.126
262,8.144
263,8.21
264,8.252
265,8.286
266,8.334
267,8.396
268,8.458
269,8.504
270,8.552
271,8.616
272,8.66
273,8.764
274,8.828
275,8.87
276,8.898
277,8.926
278,8.976
279,9.004
280,9.03
281,9.068
282,9.138
283,9.198
284,9.26
285,9.338
286,9.404
287,9.448
288,9.528
289,9.574
290,9.65
291,9.698
292,9.712
293,9.778
294,9.896
295,9.956
296,9.982
297,10.002
298,10.056
299,10.086
300,10.128
301,10.196
302,10.212
303,10.29
304,10.326
305,10.358
306,10.434
307,10.468
308,10.532
309,10.592
310,10.634
311,10.698
312,10.782
313,10.84
314,10.9
315,10.958
316,10.988
317,11.022
318,11.076
319,11.168
320,11.238
321,11.316
322,11.366
323,11.412
324,11.49
325,11.538
326,11.58
327,11.588
328,11.61
329,11.646
330,11.702
331,11.748
332,11.822
333,11.878
334,11.924
335,11.986
336,12.058
337,12.108
338,12.136
339,12.238
340,12.304
341,12.372
342,12.422
343,12.522
344,12.548
345,12.588
346,12.702
347,12.786
348,12.818
349,12.9
350,12.922
351,12.96
352,13.014
353,13.062
354,13.084
355,13.148
356,13.23
357,13.264
358,13.302
359,13.31
360,13.356
361,13.416
362,13.456
363,13.486
364,13.528
365,13.56
366,13.648
367,13.714
368,13.798
369,13.818
370,13.876
371,13.922
372,13.978
373,14.044
374,14.082
375,14.084
376,14.192
377,14.212
378,14.232
379,14.302
380,14.36
381,14.458
382,14.526
383,14.606
384,14.656
385,14.7
386,14.712
387,14.746
388,14.8
389,14.858
390,14.924
391,14.96
392,14.982
393,15.044
394,15.06
395,15.12
396,15.19
397,15.152
398,15.164
399,15.246
400,15.314
401,15.39
402,15.452
403,15.544
404,15.576
405,15.598
406,15.648
407,15.676
408,15.716
409,15.814
410,15.84
411,15.89
412,16.0
413,16.032
414,16.084
415,16.132
416,16.206
417,16.266
418,16.3
419,16.318
420,16.378
421,16.466
422,16.54
423,16.548
424,16.608
425,16.652
426,16.686
427,16.71
428,16.756
429,16.812
430,16.838
431,16.878
432,16.9
433,16.982
434,17.064
435,17.062
436,17.132
437,17.192
438,17.242
439,17.24
440,17.298
441,17.34
442,17.424
443,17.466
444,17.474
445,17.518
446,17.588
447,17.63
448,17.726
449,17.738
450,17.782
451,17.832
452,17.898
453,17.972
454,18.022
455,18.088
456,18.134
457,18.138
458,18.164
459,18.174
460,18.184
461,18.248
462,18.28
463,18.392
464,18.428
465,18.488
466,18.51
467,18.558
468,18.648
469,18.638
470,18.656
471,18.7
472,18.752
473,18.766
474,18.836
475,18.924
476,19.008
477,19.076
478,19.074
479,19.102
480,19.118
481,19.148
482,19.154
483,19.232
484,19.296
485,19.358
486,19.442
487,19.502
488,19.596
489,19.608
490,19.648
491,19.754
492,19.746
493,19.804
494,19.82
495,19.88
496,19.878
497,19.94
498,19.942
499,20.022
500,20.028
501,20.058
502,20.094
503,20.196
504,20.244
505,20.254
506,20.304
507,20.408
508,20.436
509,20.476
510,20.572
511,20.598
512,20.566
513,20.602
514,20.638
515,20.688
516,20.74
517,20.748
518,20.766
519,20.79
520,20.788
521,20.844
522,20.916
523,20.968
524,20.93
525,20.942
526,20.982
527,21.06
528,21.076
529,21.088
530,21.108
531,21.136
532,21.168
533,21.22
534,21.212
535,21.248
536,21.27
537,21.25
538,21.236
539,21.252
540,21.344
541,21.38
542,21.386
543,21.44
544,21.49
545,21.516
546,21.592
547,21.61
548,21.624
549,21.638
550,21.654
551,21.684
552,21.638
553,21.746
554,21.764
555,21.8
556,21.816
557,21.898
558,21.964
559,22.012
560,22.01
561,21.994
562,21.996
563,22.058
564,22.072
565,22.13
566,22.194
567,22.252
568,22.262
569,22.318
570,22.372
571,22.442
